,,,,,,,,,,,,,,,,,,,,,
,UE36,Intitulé de l'EC,HU2,Humanités 2,,,,,,,,,,UE36,Intitulé de l'EC,HU2,Humanités 2,,,,
,,Crédits,3,,,,,,,,,,,,Crédits,3,,,,,
,,Nbe h.,35,,,,,,,,,,,,Nbe h.,35,,,,,
,,,,,,,,,,,,,,,,,,,,,
"DEVELOPPEMENT 
PERSONNEL",,,,,,,,,,Niveau de la compétence,Compétence ciblée C ou mobilisée M,,,,,,,,,,
,,,,,,,,,,,,,,NOUVELLE FICHE ECTS ,,,,,,,
Compétence 1,,"Interagir avec les autres, travailler en équipe",,,,,,,,2,C,,,,,,,,,,
,Capacité,"Travailler en équipes (Management d'équipe, Répartition des tâches)",,,,,,,,,,,,OBJECTIF,,,,,,,
,Capacité,S'organiser et plannifier,,,,,,,,,,,,"Interagir avec les autres, travailler en équipe",,,,,,,
,Capacité,Communiquer à  l'oral et à l'écrit,,,,,,,,,,,,"Travailler en équipes (Management d'équipe, Répartition des tâches)",,,,,,,
,Connaissance,"Outils de gestion de projet (Planning, Budget)",,,,,,,,,,,,S'organiser et plannifier,,,,,,,
,Connaissance,Méthodologies (PMBOK),,,,,,,,,,,,Communiquer à  l'oral et à l'écrit,,,,,,,
,Connaissance,Outils de base en gestion d'équipe,,,,,,,,,,,,"Travailler, apprendre, évoluer de manière autonome ",,,,,,,
,Mots-clés,Equipe,Projet,Communication,,,,,,,,,,S'organiser et planifier,,,,,,,
,,,,,,,,,,,,,,Mener des recherches sur un domaine inconnu,,,,,,,
Compétence 2,,"Travailler, apprendre, évoluer de manière autonome ",,,,,,,,2,C,,,"Se situer dans un collectif de travail, trouver sa place",,,,,,,
,Capacité,S'organiser et plannifier,,,,,,,,,,,,"Se situer, travailler, évoluer dans une entreprise, une organisation socio-productive ",,,,,,,
,Capacité,Mener des recherches sur un domaine inconnu,,,,,,,,,,,,Monter un business plan,,,,,,,
,Capacité,"Se situer dans un collectif de travail, trouver sa place",,,,,,,,,,,,Imaginer le fonctionnement d'une nouvelle entreprise de façon très concréte,,,,,,,
,Connaissance,Veille technologique,,,,,,,,,,,,Agir de manière responsable dans un monde complexe ,,,,,,,
,Mots-clés,Veille technologique,,,,,,,,,,,,Mener une réflexion éthique sur un produit ou un service,,,,,,,
,,,,,,,,,,,,,,Analyser les impacts sociétaux et environnementaux,,,,,,,
Compétence 3,,"Se situer, travailler, évoluer dans une entreprise, une organisation socio-productive ",,,,,,,,2,C,,,Gérer des situations difficiles en équipe,,,,,,,
,Capacité,Monter un business plan,,,,,,,,,,,,Travailler dans un contexte international et interculturel ,,,,,,,
,Capacité,Imaginer le fonctionnement d'une nouvelle entreprise de façon très concréte,,,,,,,,,,,,Présenter son projet en anglais,,,,,,,
,Connaissance,Marketing,,,,,,,,,,,,Travailler dans une équipe multi-culturelle,,,,,,,
,Connaissance,Bases en Comptabilité / Finance,,,,,,,,,,,,,,,,,,,
,Mots-clés,Business plan,,,,,,,,,,,,PROGRAMME,,,,,,,
,,,,,,,,,,,,,,"En mode projet sur HU1 et HU2, mener à bien, et en équipe, un projet de création d'entreprise",,,,,,,
Compétence 4,,Agir de manière responsable dans un monde complexe ,,,,,,,,1,C,,,de la définition d'un concept de produit jusqu'à la réalisation d'un plan d'affaire.,,,,,,,
,Capacité,Mener une réflexion éthique sur un produit ou un service,,,,,,,,,,,,HU2 :,,,,,,,
,Capacité,Analyser les impacts sociétaux et environnementaux,,,,,,,,,,,,6h Cours,,,,,,,
,Capacité,Gérer des situations difficiles en équipe,,,,,,,,,,,,29h TD,,,,,,,
,Mots-clés,Ethique,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,MOTS CLEFS,,,,,,,
Compétence 5,,Travailler dans un contexte international et interculturel ,,,,,,,,1,C,,,Equipe,Projet,Communication,,Veille technologique,,,
,Capacité,Présenter son projet en anglais,,,,,,,,,,,,Business plan,,Ethique,Anglais,,,,
,Capacité,Travailler dans une équipe multi-culturelle,,,,,,,,,,,,,,,,,,,
,Mots-clés,Culture,Anglais,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,FICHE ECTS ACTUELLE,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,OBJECTIFS RECHERCHÉS PAR CET ENSEIGNEMENT,,,,,,,
,,,,,,,,,,,,,,OBJECTIFS :,,,,,,,
,,,,,,,,,,,,,,"HU1 et HU2 sont deux unités liées. Il s'agira, pour l'étudiant, de mener à bien, et en équipe, un projet de",,,,,,,
,,,,,,,,,,,,,,"création d'entreprise, de la définition d'un concept de produit jusqu'à la réalisation d'un plan d'affaire.",,,,,,,
,,,,,,,,,,,,,,COMPETENCES :,,,,,,,
,,,,,,,,,,,,,,Savoir structurer un projet et manager une équipe.,,,,,,,
,,,,,,,,,,,,,,Savoir réaliser une analyse fonctionnelle d'un produit ou service nouveau.,,,,,,,
,,,,,,,,,,,,,,Savoir réaliser une veille technologique.,,,,,,,
,,,,,,,,,,,,,,Savoir réaliser un plan de marchéage et un plan d'affaire.,,,,,,,
,,,,,,,,,,,,,,Savoir communiquer sur son produit ou sur son projet.,,,,,,,
,,,,,,,,,,,,,,Savoir mener une réflexion éthique sur son produit.,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,PROGRAMME,,,,,,,
,,,,,,,,,,,,,,Les séances de HU1 et HUI2 entrelacent des cours portant sur des aspects précis (qu'est-ce qu'une analyse,,,,,,,
,,,,,,,,,,,,,,fonctionnelle ? Un plan projet ? Une étude de marché ? Un plan de marchéage ? Etc.) et des travaux réalisés,,,,,,,
,,,,,,,,,,,,,,"en équipe, avec le tutorat de l'enseignant.",,,,,,,
